français,english,yaayuwee_gya_doforo
Comment fête-t-on la naissance d'un bébé à Doforo ?,How do people in Doforo celebrate the birth of a baby?,wa de gbaɲà kó bêm héé ge?
Que raconte l'histoire de la tortue aux enfants dans la culture Yaayuwee ?,What does the tortoise story teach children in Yaayuwee culture?,nyɛrɛmɔ kó tànà gbar nê ge té duk kó Yaayuwee àa obêm ge?
Quelle est ta saison préférée à Meiganga et pourquoi ?,What is your favorite season in Meiganga and why?,sɛn Meiganga me kɔɔ ne bɛɛ nàa ka mɓar nɛ? Wěn ge?
Comment préparez-vous le champ avant la saison des pluies à Doforo ?,How do you prepare the field before the rainy season in Doforo?,sɛn Doforo ɛnɛ ɗáfi fara fɔ nɛtí hą kóro héé ge?
Quelles chansons chantez-vous pendant les mariages en Yaayuwee ?,What songs do you sing during weddings in Yaayuwee?,wesé bàà kóo nê ge gima ge ɛnɛ bí ne nú Yaayuwee ge?
Quelles plantes médicinales les anciens utilisent dans la forêt de Doforo ?,What medicinal plants do elders use in the Doforo forest?,nê ge kú-nin-te ge nɛ o kutí bi duka de nê nyina ge?
Comment les chasseurs se préparent avant d'aller en forêt ?,How do hunters prepare before going into the forest?,wí-de-gía ɗafi wár tɛ netí mɛ yee kɔ kombo me déé gia héé ge?
Que racontent les anciens sur l'histoire de la migration Gbaya ?,What do elders say about the history of Gbaya migration?,nê ge nyɛrɛmɔ nê o kutí bi tɔ sɛnɛ te kura yé Gbaya ge?
Comment le mariage est négocié entre les familles ?,How is marriage negotiated between families?,mgbara o nam wa tɔ nyɛrɛ pí káná héé ge?
Quels repas préparez-vous pour la cérémonie d'initiation ?,What meals do you prepare for the initiation ceremony?,Ne ge nyɔmɔ ge a wa gí wesé gbaŋa labi ín bana ge?
Comment stockez-vous le maïs après la récolte ?,How do you store corn after the harvest?,ŋgimbi gbaɲà nyɔnɔ ené kási mboŋgo k’ɛnɛ é héé ge ?
Quels animaux sont importants dans les contes Yaayuwee ?,Which animals are important in Yaayuwee tales?,ne gé sađi gé a duk wi-see to Yaayuwee gé?
Comment les enfants apprennent à parler Yaayuwee aujourd'hui ?,How do children learn to speak Yaayuwee today?,sɔsɔɔ obêm yámbí nú Yaayuwee héé gé?
À quels jeux jouais-tu enfant au village ?,What games did you play as a child in the village?,nê ge saa gé a me duka de ne bêm gé?
Comment construit-on une maison traditionnelle à Doforo ?,How do you build a traditional house in Doforo?,wa de tua saayé sene Doforo héé geé?
Que signifie la lune pour le calendrier agricole ?,What does the moon mean for the agricultural calendar?,Tɛ tom fɔ zɛ (yaŋa zɛ) úsí nɛ gé?
Comment partage-t-on la viande après la chasse ?,How do you share meat after hunting?,Hɔ-doŋ gía wa kɛ pkoó héé gé?
Quels proverbes les anciens utilisent sur le travail dur ?,What proverbs do elders use about hard work?,Nɛ gé tuá-wen ą sɔká-wí duka tɔ zú ŋga tom gé?
Comment fait-on du feu sans allumettes ?,How do you make fire without matches?,Kà assent boná wa yé wee nɛ gé?
Quelle est l'histoire du singe et de l'éléphant ?,What is the story of the monkey and the elephant?,Nyɛrɛmɔ kó gbq-daa ín fɔrɔ nɛ gé ?
Comment les femmes travaillent ensemble pendant la récolte ?,How do women work together during harvest?,Ó ókó gbàm déé nɛ tom nyɔnɔ héé gé ?
Quels tambours utilisent-on pour les danses traditionnelles ?,What drums are used for traditional dances?,Nɛ gé bįɔ ge ą wa mbɛr wesé yóó yoya saayé (laɓi/bànà)?
Comment sait-on que la saison des pluies arrive ?,How do you know the rainy season is coming?,Nɛ gé úsí píá ɗoŋ kɔ kóro gé ?
Que faites-vous quand quelqu'un est malade au village ?,What do you do when someone is sick in the village?,Sɛnɛ saayé ká te bíí nyím ɛnɛ de nɛ gé ?
Comment apprend-on à un enfant à respecter les anciens ?,How do you teach a child to respect elders?,Wa yàmbíí túú-tɛ gasa wí ą obêm héé gé ?
Quels arbres sont sacrés dans la culture Yaayuwee ?,Which trees are sacred in Yaayuwee culture?,Mgbara ó te nɛ gé te ą ó Yaayuwee gasi gé ?
Comment prépare-t-on la bière traditionnelle pour les cérémonies ?,How do you prepare traditional beer for ceremonies?,wa gí dɔɔ saayé héé gé ?
Quelles chansons les mamans chantent aux enfants ?,What songs do mothers sing to children?,Nɛ gé gima ge ą ó náá-wan-bêm bii ą obêm gé ?
Comment résout-on les conflits à Doforo ?,How do you resolve conflicts in Doforo?,Sɛnɛ Doforo wa ɓáá wen héé gé ?
Quelle est l'importance du feu le soir ?,What is the importance of fire in the evening?,Súkúdí ko weé-gara nɛ gé ?
Comment protégez-vous les récoltes contre les oiseaux ?,How do you protect crops from birds?,Ɛnɛ hakali nyɔnɔ wen nói héé gé ?
Quelles histoires raconte-t-on sur les premiers Gbaya ?,What stories are told about the first Gbaya?,Nyɛrɛmɔ kó kuti gbàya úsí nɛ gé ?
Comment choisit-on le nom d'un nouveau bébé ?,How do you choose the name of a new baby?,Wa hòk nîn zoɗi-bêm héé gé ?
Quels outils utilisez-vous pour cultiver à Meiganga ?,What tools do you use to farm in Meiganga?,Boé-de-tom fɔ sẹnɛ Meiganga nɛ gé ?
Comment sèche-t-on la viande pour la saison sèche ?,How do you dry meat for the dry season?,Mɛ bɛɛ wa gúí pkoó héé gé ?
Que disent les anciens sur le partage de la nourriture ?,What do elders say about sharing food?,Tɛ kɛ nyɔnmo ó gasa-wí tɔ ne gé ?
Comment la vie en saison sèche est différente de la saison des pluies ?,How is life in dry season different from rainy season?,Héé gé dúká-a mɛ bɛɛ duk nɛ tɛ nɛ mɓar gé ?
Que fais-tu le jour du marché à Garoua-Boulaï ?,What do you do on market day in Garoua-Boulai?,Mɛ de nɛ gé wesé lumɔ Garoua-Boulaï gé ?
Comment apprend-on la médecine traditionnelle avec les anciens ?,How do you learn traditional medicine with elders?,Ó gasa-wí úsí nyina saayé héé gé ?
Quel est ton plat traditionnel préféré et pourquoi ?,What is your favorite traditional dish and why?,Nyoŋmo nɛ mɛ kɔɔ nyɛmná nɛ gé ? Wen gé ?
Comment fête-t-on une bonne récolte ?,How do you celebrate a good harvest?,Wa de gbaɲà nyɔnɔ héé gé ?
Quelle leçon dans l'histoire du lièvre et de la tortue ?,What lesson is in the story of the hare and the tortoise?,Nyɛrɛmɔ kó dɔmɔ ín tànà úsí nɛ gé ?
Comment fabrique-t-on un panier avec les lianes de la forêt ?,How do you make a basket with forest vines?,Kɔ kɔmbɔ wa fan gɛsɛ gití héé gé ?
Quel est le rôle du chef du village à Doforo ?,What is the role of the village chief in Doforo?,Tom kó wanyé Doforo nɛ gé ?
Comment se prépare-t-on pour un long voyage à Meiganga ?,How do you prepare for a long journey to Meiganga?,Mɛ nè gba-gɛnɛ wɛ ɗafí tɛ héé gé ?
Quels oiseaux annoncent le matin à Doforo ?,Which birds announce the morning in Doforo?,Nɛ gé nɔi gé ą úsí mɔ sáá kaɗi gé ?
